epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1470.47,1.0484,1.41738,1.41752,0.7783,0.87213,0.86518,0.50115,1.54133,1.39895,2.04426,0.000474413,0.000474413,0.000474413
2,2951.57,0.95093,0.8574,1.30355,0.88421,0.90103,0.95045,0.62019,1.23979,0.96817,1.68334,0.000931921,0.000931921,0.000931921
3,5566.74,0.93301,0.75308,1.28583,0.86042,0.86396,0.91864,0.58017,1.3701,0.85789,1.83029,0.00137057,0.00137057,0.00137057
4,7092.81,0.91117,0.67608,1.26375,0.90159,0.91256,0.94056,0.61382,1.34991,0.8292,1.77634,0.00134412,0.00134412,0.00134412
5,8629.11,0.88482,0.63115,1.24803,0.90314,0.87202,0.94474,0.57063,1.40213,0.74475,1.82995,0.00131582,0.00131582,0.00131582
6,10160.5,0.86076,0.60285,1.23246,0.9374,0.96783,0.9644,0.65436,1.25336,0.59921,1.66151,0.00128753,0.00128753,0.00128753
7,11737.1,0.83059,0.56543,1.2044,0.92266,0.93701,0.95573,0.60991,1.36757,0.63628,1.82439,0.00125923,0.00125923,0.00125923
8,13273.8,0.80938,0.54656,1.1958,0.93134,0.93984,0.9787,0.686,1.17453,0.5737,1.59554,0.00123094,0.00123094,0.00123094
9,14926.1,0.79372,0.52714,1.18246,0.9584,0.97079,0.9761,0.68505,1.19186,0.52294,1.61248,0.00120265,0.00120265,0.00120265
10,16446.9,0.78281,0.51069,1.17223,0.94786,0.9343,0.96171,0.61376,1.45764,0.63498,1.92571,0.00117435,0.00117435,0.00117435
11,18254.9,0.77723,0.49961,1.17377,0.95522,0.97437,0.97393,0.68554,1.18818,0.52555,1.6082,0.00114606,0.00114606,0.00114606
12,20071.6,0.76145,0.4825,1.15899,0.95691,0.9369,0.96853,0.68909,1.16983,0.51678,1.58878,0.00111776,0.00111776,0.00111776
13,21765.9,0.75156,0.47891,1.15343,0.95953,0.96656,0.97279,0.66348,1.26195,0.53231,1.68352,0.00108947,0.00108947,0.00108947
